epoch,acc,iou,loss,val_acc,val_iou,val_loss
0,0.9548979997634888,0.03963092342019081,0.1914862096309662,0.999997615814209,0.04111160710453987,0.42032983899116516
1,0.9633415341377258,0.039630912244319916,0.06598576158285141,0.9999997615814209,0.04111160710453987,0.48385050892829895
2,0.962058424949646,0.03963092342019081,0.04932771623134613,0.9999909996986389,0.04111160710453987,0.2860725224018097
3,0.962488055229187,0.03963092714548111,0.040362708270549774,0.9799944758415222,0.04111160710453987,0.08309819549322128
4,0.9617649912834167,0.03963091969490051,0.033006247133016586,0.9753022789955139,0.04111160710453987,0.04710632562637329
5,0.9616369009017944,0.03963092714548111,0.027804285287857056,0.9636265635490417,0.04111160710453987,0.02631842903792858
6,0.9612182378768921,0.03963091969490051,0.02529558166861534,0.9666319489479065,0.04111160710453987,0.030126363039016724
7,0.9612706303596497,0.03963091969490051,0.02161739394068718,0.9520815014839172,0.04111160710453987,0.029452621936798096
8,0.9609735608100891,0.03963093087077141,0.01888054423034191,0.9573952555656433,0.04111160710453987,0.02002709172666073
9,0.9610155820846558,0.03963091969490051,0.017189374193549156,0.962424099445343,0.04111160710453987,0.020841727033257484
10,0.9608883857727051,0.03963093087077141,0.016766231507062912,0.9583451151847839,0.04111160710453987,0.018684322014451027
11,0.960798442363739,0.03963092714548111,0.013564344495534897,0.9546410441398621,0.04111160710453987,0.02262912690639496
12,0.9608156085014343,0.03963092714548111,0.012187106534838676,0.9589250087738037,0.04111160710453987,0.015245991759002209
13,0.9606679081916809,0.039630915969610214,0.011122959665954113,0.9590032696723938,0.04111160710453987,0.015599154867231846
14,0.9606722593307495,0.03963091969490051,0.009588593617081642,0.9601895809173584,0.04111160710453987,0.01467947382479906
15,0.9606423377990723,0.03963091969490051,0.009527929127216339,0.9617316722869873,0.04111160710453987,0.01880211941897869
16,0.9606217741966248,0.03963091969490051,0.008060390129685402,0.9576353430747986,0.04111160710453987,0.014646109193563461
17,0.960530161857605,0.03963091969490051,0.0073981755413115025,0.967010498046875,0.04111160710453987,0.035498134791851044
18,0.9605339169502258,0.039630912244319916,0.006717774551361799,0.9615797996520996,0.04111160710453987,0.017277145758271217
19,0.9604960083961487,0.039630912244319916,0.005946512334048748,0.9595617651939392,0.04111160710453987,0.014517191797494888
20,0.9604978561401367,0.03963092714548111,0.005473364144563675,0.9592166543006897,0.04111160710453987,0.014315170235931873
21,0.960478663444519,0.03963093459606171,0.005085629411041737,0.959833562374115,0.04111160710453987,0.015072930604219437
22,0.9604628682136536,0.039630912244319916,0.004868980031460524,0.9593675136566162,0.04111160710453987,0.014377732761204243
23,0.9604473114013672,0.03963093459606171,0.004662681836634874,0.9614507555961609,0.04111160710453987,0.018847955390810966
24,0.9604459404945374,0.03963090851902962,0.004493181128054857,0.9614729285240173,0.04111160710453987,0.01882259175181389
25,0.9604417085647583,0.03963093459606171,0.004460501950234175,0.9542570114135742,0.04111160710453987,0.025327997282147408
26,0.9604301452636719,0.03963093459606171,0.004056921228766441,0.9566197991371155,0.04111160710453987,0.018333107233047485
27,0.9604382514953613,0.03963091969490051,0.004399571567773819,0.9667790532112122,0.04111160710453987,0.09062562137842178
28,0.9606599807739258,0.03963091969490051,0.015885069966316223,0.9579908847808838,0.04111160710453987,0.014022164978086948
29,0.9604626297950745,0.03963092342019081,0.004780356306582689,0.9586617350578308,0.04111160710453987,0.013046170584857464
30,0.960416316986084,0.039630912244319916,0.003678637556731701,0.9598378539085388,0.04111160710453987,0.013799573294818401
31,0.9603967070579529,0.039630938321352005,0.0032647319603711367,0.9588629603385925,0.04111160710453987,0.0136885866522789
32,0.9604050517082214,0.03963091969490051,0.0030752497259527445,0.9591920971870422,0.04111160710453987,0.014201781712472439
33,0.9603922963142395,0.03963092342019081,0.0028737580869346857,0.9592533707618713,0.04111160710453987,0.015358232893049717
34,0.9603858590126038,0.03963093087077141,0.002805492840707302,0.9581649899482727,0.04111160710453987,0.015764804556965828
35,0.9603976607322693,0.03963092714548111,0.0027448711916804314,0.9566020369529724,0.04111160710453987,0.01821514032781124
36,0.9603904485702515,0.03963091969490051,0.0027474199887365103,0.9584994912147522,0.04111160710453987,0.015993474051356316
37,0.9604038000106812,0.03963090479373932,0.0027257190085947514,0.9594748020172119,0.04111160710453987,0.017199862748384476
